"","Amensalism/Antagonism","Amensalism/Competition","Amensalism/Commensalism","Amensalism/Neutralism","Amensalism/Mutualism","Antagonism/Competition","Antagonism/Commensalism","Antagonism/Neutralism","Antagonism/Mutualism","Competition/Commensalism","Competition/Neutralism","Competition/Mutualism","Commensalism/Neutralism","Commensalism/Mutualism","Neutralism/Mutualism"
"1201710252",1.02695453437612,0.857784449400521,2.14004044418942,3.73110505121592,2.6519238051683,-0.1691700849756,1.1130859098133,2.7041505168398,1.62496927079217,1.2822559947889,2.8733206018154,1.79413935576777,1.5910646070265,0.511883360978874,-1.07918124604762
"1201710258",1.17192246495434,0.561353912058437,2.26106077213482,3.11027537834391,3.0433285887133,-0.610568552895902,1.08913830718049,1.93835291338957,1.87140612375896,1.69970686007639,2.54892146628548,2.48197467665486,0.849214606209088,0.782267816578474,-0.0669467896306141
"1201710262",0.89138859664245,0.767433539915403,2.05968961127188,2.6337208789996,2.7586596156079,-0.123955056727047,1.16830101462943,1.74233228235715,1.86727101896545,1.29225607135648,1.86628733908419,1.99122607569249,0.574031267727719,0.698970004336019,0.1249387366083
"1201710264",0.844455750794053,0.750551247925722,1.8017037703731,2.22767250264538,2.13076248963733,-0.0939045028683308,0.95724801957905,1.38321675185133,1.28630673884327,1.05115252244738,1.47712125471966,1.38021124171161,0.425968732272282,0.329058719264224,-0.0969100130080577
"1201710265",1.07191437196947,0.840407641609521,2.45431349982925,3.27385743537112,2.84249367121213,-0.231506730359946,1.38239912785978,2.20194306340165,1.77057929924266,1.61390585821973,2.4334497937616,2.00208602960261,0.819543935541867,0.388180171382881,-0.431363764158987
"1201710273",0.786790905256813,0.803904801234694,2.00663057889901,2.69460519893357,2.48375183361867,0.0171138959778811,1.2198396736422,1.90781429367676,1.69696092836186,1.20272577766432,1.89070039769888,1.67984703238398,0.687974620034556,0.477121254719661,-0.210853365314894
"1201710274",0.734649840127193,0.822826645844063,1.59046495973496,3.63773982711914,2.00935089706883,0.0881768057168695,0.855815119607764,2.90308998699194,1.27470105694163,0.767638313890895,2.81491318127507,1.18652425122476,2.04727486738418,0.418885937333868,-1.62838893005031
"1201710276",0.498830691844111,0.914005241802269,1.48090081606698,2.53205333851436,2.35596207945868,0.415174549958158,0.982070124222871,2.03322264667025,1.85713138761457,0.566895574264713,1.61804809671209,1.44195683765641,1.05115252244738,0.875061263391698,-0.176091259055682
"1201710280",0.844629797939892,0.744734931382374,2.21011778283079,2.55690526905545,2.63608651510307,-0.0998948665575182,1.3654879848909,1.71227547111556,1.79145671716318,1.46538285144842,1.81217033767307,1.8913515837207,0.346787486224657,0.425968732272282,0.0791812460476252
"1201710288",0.935790859006756,0.790571553410438,2.19947075366906,3.63083451782805,2.5426984291275,-0.145219305596318,1.26367989466231,2.69504365882129,1.60690757012074,1.40889920025862,2.84026296441761,1.75212687571706,1.43136376415899,0.343227675458437,-1.08813608870055
"1201710289",0.730086466638968,0.78557526846285,1.98473183158722,2.75727920445287,2.18102647673119,0.0554888018238825,1.25464536494826,2.0271927378139,1.45094001009223,1.19915656312437,1.97170393599002,1.39545120826834,0.772547372865645,0.196294645143968,-0.576252727721677
"1201710292",0.711771695694773,0.844920402347903,2.10185369143267,3.56425168933163,2.36013170667571,0.13314870665313,1.3900819957379,2.85247999363686,1.64836001098093,1.25693328908477,2.71933128698373,1.5152113043278,1.46239799789896,0.258278015243032,-1.20411998265592
"1201710295",0.996824486432863,0.700596690154203,1.95829035543434,3.08050623370716,3.15968747975479,-0.29622779627866,0.961465869001475,2.0836817472743,2.16286299332193,1.25769366528014,2.37990954355296,2.45909078960059,1.12221587827283,1.20139712432045,0.0791812460476249
"1201710296",0.756243057883528,0.767814974916663,2.12018668688068,2.78636417782039,2.24797326636181,0.0115719170331344,1.36394362899715,2.03012111993686,1.49173020847828,1.35237171196402,2.01854920290373,1.48015829144514,0.666177490939711,0.127786579481126,-0.538390911458585
"1201710304",-0.127681867128142,0.493832458769603,1.53420413208113,2.53580965879655,2.04809533057947,0.621514325897745,1.66188599920927,2.66349152592469,2.17577719770761,1.04037167331153,2.04197720002695,1.55426287180986,1.00160552671542,0.513891198498333,-0.487714328217086
"1201710308",0.719566856058857,0.759739401642877,2.20666236154125,2.77093379197981,2.52105631876321,0.0401725455840203,1.48709550548239,2.05136693592096,1.80148946270435,1.44692295989837,2.01119439033693,1.76131691712033,0.564271430438562,0.314393957221961,-0.249877473216601
"1201710314",0.697950931951566,0.78760588718459,1.57791712009637,2.53215962953569,2.2168891947571,0.0896549552330241,0.879966188144806,1.83420869758413,1.51893826280554,0.790311232911782,1.7445537423511,1.42928330757251,0.954242509439323,0.638972074660733,-0.31527043477859
